area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Shyam Nagar,5 BHK,Park View,2706,5,3,309.95
Built-up Area,Ready To Move,Civil Lines,2 BHK,Prime Residency,1049,2,1,102.38
Plot Area,Ready To Move,Sirsi,3 BHK,City Heights,4846,3,1,283.47
Built-up Area,Ready To Move,Civil Lines,4 BHK,Raj Villas,1927,3,3,193.86
Carpet Area,Ready To Move,Brahmpuri,5 BHK,Pearl Gardens,1980,4,3,160.5
Plot Area,Under Construction,Brahmpuri,3 BHK,Golden Horizon,3749,2,1,494.92
Super built-up Area,Ready To Move,Chokdi Gangapol,3 BHK,Prime Residency,1388,2,2,184.65
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,City Heights,1835,1,0,211.16
Carpet Area,Ready To Move,Shyam Nagar,2 BHK,Golden Horizon,622,3,0,85.81
Plot Area,Ready To Move,Parasrampuri,1 BHK,Elite Society,2215,1,1,276.29
Super built-up Area,Ready To Move,Jawahar Nagar,2 BHK,Shyam Residency,2897,1,1,204.03
Carpet Area,Ready To Move,Civil Lines,5 BHK,Heritage Homes,2052,4,3,47.92
Plot Area,Ready To Move,Dahar Ka Balaji,3 BHK,City Heights,4862,4,1,356.37
Plot Area,Under Construction,Gandhi Path West,5 BHK,Pearl Gardens,938,5,3,113.98
Plot Area,Ready To Move,Maniyawas,2 BHK,City Heights,4931,3,1,376.78
Built-up Area,Ready To Move,Civil Lines,5 BHK,Shyam Residency,1720,5,3,91.28
Super built-up Area,Ready To Move,Tagore Nagar,4 BHK,Metro Heights,3080,5,3,120.33
Super built-up Area,Ready To Move,Parasrampuri,4 BHK,City Heights,1470,5,3,155.57
Plot Area,Ready To Move,Jawahar Nagar,1 BHK,Pearl Gardens,1739,1,0,188.32
Plot Area,Ready To Move,Sita Vihar,3 BHK,Golden Horizon,4216,4,3,506.87
Built-up Area,Ready To Move,Brahmpuri,1 BHK,Sapphire Residency,1758,2,0,176.37
Super built-up Area,Under Construction,Vaishali Nagar,5 BHK,Green Meadows,1969,5,3,119.59
Plot Area,Ready To Move,Civil Lines,2 BHK,Shyam Residency,2152,1,2,250.79
Plot Area,Ready To Move,Ajmer Road,1 BHK,City Heights,979,1,1,124.2
Plot Area,Ready To Move,Manchwa,4 BHK,Elite Society,2185,3,3,89.59
Built-up Area,Under Construction,Hanuman Nagar,5 BHK,Green Meadows,755,5,3,79.28
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Cosmopolitan Society,2013,1,0,205.34
Super built-up Area,Ready To Move,Mansarovar Ext.,4 BHK,Urban Estate,3162,3,2,322.48
Carpet Area,Under Construction,Gandhi Path West,2 BHK,Prime Residency,1808,2,0,70.59
Plot Area,Ready To Move,Bapu Nagar,1 BHK,Park View,3226,2,0,394.57
Super built-up Area,Ready To Move,Maniyawas,1 BHK,Park View,2519,1,0,135.05
Built-up Area,Ready To Move,Vaishali Nagar,3 BHK,Golden Horizon,1641,4,3,137.19
Plot Area,Ready To Move,Parasrampuri,1 BHK,Shyam Residency,2379,1,0,190.48
Carpet Area,Ready To Move,Ajmer Road,3 BHK,Elite Society,1087,3,1,29.72
Carpet Area,Ready To Move,Tagore Nagar,4 BHK,Sapphire Residency,2312,5,3,219.65
Plot Area,Under Construction,Mansarovar Ext.,5 BHK,City Heights,1652,4,3,243.04
Super built-up Area,Under Construction,Bapu Nagar,1 BHK,Heritage Homes,935,2,1,47.41
Built-up Area,Under Construction,Hanuman Nagar,3 BHK,Sunrise Apartments,1522,2,2,53.12
Super built-up Area,Under Construction,Vaishali Nagar,2 BHK,Elite Society,3495,1,1,383.9
Plot Area,Ready To Move,Gandhi Path West,5 BHK,Blue Haven,1120,5,3,91.55
Built-up Area,Under Construction,Dahar Ka Balaji,3 BHK,Metro Heights,2030,3,2,126.78
Super built-up Area,Under Construction,Sirsi,1 BHK,Sunrise Apartments,3059,1,0,263.3
Carpet Area,Ready To Move,Parasrampuri,3 BHK,Zenith Society,640,2,1,50.66
Super built-up Area,Ready To Move,Gandhi Path West,1 BHK,Metro Heights,3129,2,0,86.92
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Prime Residency,1379,5,3,179.0
Super built-up Area,Ready To Move,Raja Park,3 BHK,Raj Villas,1215,2,1,86.23
Plot Area,Ready To Move,Chokdi Gangapol,4 BHK,Urban Estate,4310,4,2,231.34
Plot Area,Ready To Move,Ajmer Road,5 BHK,Metro Heights,1494,5,3,69.09
Super built-up Area,Under Construction,Malviya Nagar,3 BHK,Emerald Greens,1594,4,3,56.54
Built-up Area,Under Construction,Hanuman Nagar,4 BHK,Elite Society,2226,3,3,159.3
Super built-up Area,Ready To Move,Bapu Nagar,1 BHK,Green Meadows,3389,1,1,201.4
Super built-up Area,Ready To Move,Shyam Nagar,3 BHK,Golden Horizon,1692,2,3,178.98
Plot Area,Ready To Move,Brahmpuri,1 BHK,Urban Estate,2676,1,0,211.2
Plot Area,Ready To Move,Chokdi Gangapol,1 BHK,Shyam Residency,2284,1,0,211.96
Built-up Area,Ready To Move,Gandhi Path West,3 BHK,Elite Society,2122,2,2,243.23
Super built-up Area,Ready To Move,Gandhi Path West,4 BHK,Cosmopolitan Society,2733,5,3,324.41
Built-up Area,Under Construction,Hanuman Nagar,4 BHK,Cosmopolitan Society,1556,4,3,45.36
Carpet Area,Ready To Move,Gandhi Path West,2 BHK,Sunrise Apartments,2192,3,2,116.35
Plot Area,Ready To Move,Mansarovar Ext.,4 BHK,Golden Horizon,3644,4,3,279.58
Built-up Area,Under Construction,Brahmpuri,2 BHK,Shyam Residency,983,2,2,109.48
Super built-up Area,Ready To Move,Maniyawas,3 BHK,Sunrise Apartments,2073,4,3,106.63
Carpet Area,Under Construction,Jawahar Nagar,2 BHK,City Heights,1102,1,2,149.35
Carpet Area,Ready To Move,Chokdi Gangapol,5 BHK,City Heights,1292,5,3,70.58
Plot Area,Under Construction,Manchwa,4 BHK,Zenith Society,2002,4,3,208.71
Super built-up Area,Ready To Move,Sirsi,1 BHK,Raj Villas,1562,1,0,80.45
Super built-up Area,Under Construction,Raja Park,5 BHK,Metro Heights,1571,5,3,211.59
Super built-up Area,Under Construction,Malviya Nagar,1 BHK,Urban Estate,2952,1,1,347.3
Plot Area,Ready To Move,Mansarovar Ext.,4 BHK,Golden Horizon,993,4,3,79.49
Super built-up Area,Ready To Move,Raja Park,3 BHK,Shyam Residency,3199,4,2,93.67
Plot Area,Under Construction,Brahmpuri,3 BHK,Golden Horizon,844,2,2,66.19
Built-up Area,Under Construction,Malviya Nagar,4 BHK,Golden Horizon,811,3,2,65.57
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Green Meadows,2382,5,3,194.57
Built-up Area,Under Construction,Jawahar Nagar,2 BHK,Heritage Homes,1650,3,1,76.82
Carpet Area,Under Construction,Chokdi Gangapol,2 BHK,Elite Society,714,2,1,60.66
Plot Area,Ready To Move,Gandhi Path West,3 BHK,Sapphire Residency,4841,4,1,233.7
Built-up Area,Ready To Move,Civil Lines,4 BHK,Blue Haven,1574,5,2,176.26
Super built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Blue Haven,1053,4,3,46.82
Carpet Area,Under Construction,Maniyawas,1 BHK,Luxury Heights,1116,2,0,105.45
Built-up Area,Ready To Move,Shyam Nagar,3 BHK,Park View,871,4,1,23.05
Super built-up Area,Ready To Move,Sirsi,3 BHK,Park View,2194,4,1,90.78
Built-up Area,Ready To Move,Chokdi Gangapol,4 BHK,Golden Horizon,2629,4,3,111.64
Built-up Area,Ready To Move,Shyam Nagar,1 BHK,Royal Enclave,802,1,0,46.45
Built-up Area,Under Construction,Parasrampuri,1 BHK,Luxury Heights,991,1,1,117.81
Super built-up Area,Under Construction,Jawahar Nagar,5 BHK,Metro Heights,1952,4,3,82.76
Plot Area,Under Construction,Maniyawas,2 BHK,Green Meadows,1306,2,1,42.72
Super built-up Area,Ready To Move,Maniyawas,3 BHK,Zenith Society,2498,4,2,288.66
Carpet Area,Ready To Move,Ajmer Road,5 BHK,Pearl Gardens,808,4,3,36.26
Super built-up Area,Ready To Move,Sirsi,4 BHK,Royal Enclave,2345,3,3,338.98
Plot Area,Ready To Move,Hanuman Nagar,4 BHK,Urban Estate,4271,4,3,614.24
Super built-up Area,Under Construction,Malviya Nagar,2 BHK,Cosmopolitan Society,2721,1,0,376.39
Built-up Area,Ready To Move,Ajmer Road,1 BHK,Sapphire Residency,1074,2,0,23.49
Built-up Area,Under Construction,Sirsi,5 BHK,Heritage Homes,1978,5,3,239.57
Built-up Area,Ready To Move,Malviya Nagar,3 BHK,Emerald Greens,1992,3,2,162.15
Plot Area,Ready To Move,Bapu Nagar,2 BHK,Zenith Society,4872,2,0,457.21
Plot Area,Ready To Move,Dahar Ka Balaji,5 BHK,Urban Estate,1369,4,3,38.0
Built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,City Heights,1163,5,3,142.41
Plot Area,Ready To Move,Ajmer Road,1 BHK,Luxury Heights,2242,1,0,109.21
Plot Area,Under Construction,Civil Lines,1 BHK,Emerald Greens,937,2,0,77.52
Plot Area,Ready To Move,Hanuman Nagar,3 BHK,Prime Residency,4438,2,1,274.27
Built-up Area,Ready To Move,Brahmpuri,3 BHK,Urban Estate,980,4,2,52.11
Plot Area,Under Construction,Gandhi Path West,5 BHK,Metro Heights,3846,5,3,549.61
Plot Area,Under Construction,Parasrampuri,1 BHK,Golden Horizon,1427,1,1,161.33
Super built-up Area,Under Construction,Sirsi,3 BHK,Elite Society,2424,2,3,255.18
Super built-up Area,Under Construction,Ajmer Road,3 BHK,Cosmopolitan Society,1807,4,2,211.24
Plot Area,Under Construction,Maniyawas,1 BHK,Raj Villas,3369,2,0,504.04
Plot Area,Under Construction,Mansarovar Ext.,2 BHK,Heritage Homes,4724,2,2,485.14
Plot Area,Ready To Move,Mansarovar Ext.,1 BHK,Sunrise Apartments,1199,1,1,176.5
Built-up Area,Ready To Move,Shyam Nagar,1 BHK,Elite Society,1716,2,0,94.45
Super built-up Area,Ready To Move,Ajmer Road,3 BHK,Luxury Heights,1972,2,1,289.86
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Luxury Heights,1768,2,2,143.07
Super built-up Area,Ready To Move,Jawahar Nagar,1 BHK,City Heights,3012,2,0,209.6
Super built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Metro Heights,2273,3,3,261.63
Super built-up Area,Ready To Move,Bapu Nagar,3 BHK,Luxury Heights,2925,2,3,246.42
Plot Area,Ready To Move,Parasrampuri,5 BHK,Prime Residency,3940,5,3,576.53
Plot Area,Ready To Move,Tagore Nagar,4 BHK,Sunrise Apartments,4033,4,3,93.23
Super built-up Area,Under Construction,Brahmpuri,3 BHK,Urban Estate,3204,2,3,70.91
Super built-up Area,Ready To Move,Malviya Nagar,1 BHK,Luxury Heights,1008,2,0,72.54
Built-up Area,Ready To Move,Maniyawas,3 BHK,Sunrise Apartments,1863,2,1,53.41
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Royal Enclave,3437,1,0,224.89
Built-up Area,Under Construction,Ajmer Road,2 BHK,Metro Heights,1321,3,1,144.44
Built-up Area,Ready To Move,Raja Park,5 BHK,Zenith Society,692,5,3,35.04
Built-up Area,Ready To Move,Hanuman Nagar,4 BHK,Zenith Society,1479,4,2,124.51
Super built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Green Meadows,1479,5,3,88.35
Plot Area,Ready To Move,Vaishali Nagar,1 BHK,Green Meadows,1300,1,0,155.13
Built-up Area,Under Construction,Manchwa,2 BHK,Urban Estate,856,2,2,94.87
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Pearl Gardens,1223,1,0,169.03
Plot Area,Under Construction,Parasrampuri,2 BHK,Metro Heights,1161,1,2,35.94
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Golden Horizon,996,2,0,49.17
Plot Area,Ready To Move,Jawahar Nagar,1 BHK,Green Meadows,3973,1,1,186.04
Super built-up Area,Under Construction,Maniyawas,1 BHK,Shyam Residency,2598,1,0,322.91
Built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Metro Heights,2273,4,1,281.48
Carpet Area,Under Construction,Tagore Nagar,5 BHK,Urban Estate,2224,5,3,111.18
Super built-up Area,Ready To Move,Sirsi,5 BHK,Park View,2420,5,3,58.11
Plot Area,Ready To Move,Civil Lines,1 BHK,Metro Heights,1950,2,1,107.06
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,City Heights,4617,3,2,672.11
Super built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Blue Haven,1471,5,3,76.08
Super built-up Area,Ready To Move,Malviya Nagar,5 BHK,City Heights,2942,4,3,88.05
Super built-up Area,Under Construction,Malviya Nagar,2 BHK,Cosmopolitan Society,3286,2,2,166.36
Plot Area,Under Construction,Vaishali Nagar,2 BHK,Raj Villas,3563,2,0,498.75
Built-up Area,Under Construction,Chokdi Gangapol,1 BHK,Metro Heights,2599,1,0,350.32
Plot Area,Ready To Move,Tagore Nagar,5 BHK,Shyam Residency,3606,5,3,495.89
Carpet Area,Ready To Move,Brahmpuri,1 BHK,Metro Heights,2270,2,1,90.65
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Elite Society,1646,2,0,208.11
Built-up Area,Ready To Move,Bapu Nagar,4 BHK,Metro Heights,2456,3,3,199.59
Super built-up Area,Ready To Move,Tagore Nagar,1 BHK,Blue Haven,1148,2,1,57.99
Built-up Area,Under Construction,Tagore Nagar,4 BHK,Elite Society,720,3,3,15.59
Plot Area,Ready To Move,Sita Vihar,2 BHK,Emerald Greens,1669,1,0,161.38
Carpet Area,Ready To Move,Civil Lines,4 BHK,Blue Haven,2109,5,3,201.29
Plot Area,Ready To Move,Mansarovar Ext.,4 BHK,Sapphire Residency,2965,3,3,251.36
Plot Area,Ready To Move,Gandhi Path West,2 BHK,Sapphire Residency,813,3,0,73.92
Built-up Area,Ready To Move,Sita Vihar,2 BHK,Cosmopolitan Society,1773,3,0,193.13
Super built-up Area,Under Construction,Sirsi,3 BHK,Green Meadows,725,2,2,103.98
Super built-up Area,Ready To Move,Bapu Nagar,1 BHK,Green Meadows,1537,1,0,48.94
Plot Area,Ready To Move,Malviya Nagar,2 BHK,Elite Society,2683,3,2,191.48
Super built-up Area,Ready To Move,Raja Park,3 BHK,City Heights,1557,4,3,71.76
Super built-up Area,Under Construction,Vaishali Nagar,5 BHK,Blue Haven,1329,4,3,74.37
Super built-up Area,Ready To Move,Raja Park,2 BHK,Emerald Greens,1143,1,1,96.28
Super built-up Area,Under Construction,Manchwa,5 BHK,Raj Villas,1271,5,3,181.77
Super built-up Area,Under Construction,Raja Park,5 BHK,Cosmopolitan Society,2422,5,3,219.79
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Blue Haven,897,4,3,115.5
Plot Area,Under Construction,Jawahar Nagar,2 BHK,Emerald Greens,4097,1,0,137.57
Plot Area,Ready To Move,Manchwa,3 BHK,Heritage Homes,1910,2,2,167.28
Super built-up Area,Ready To Move,Vaishali Nagar,5 BHK,Raj Villas,2565,5,3,106.19
Super built-up Area,Under Construction,Jawahar Nagar,5 BHK,Green Meadows,3331,4,3,149.05
Built-up Area,Ready To Move,Maniyawas,2 BHK,Prime Residency,2977,1,1,105.25
Plot Area,Ready To Move,Sirsi,1 BHK,Zenith Society,2879,1,0,94.32
Plot Area,Under Construction,Gandhi Path West,1 BHK,Heritage Homes,3156,1,1,239.42
Built-up Area,Under Construction,Gandhi Path West,1 BHK,Sapphire Residency,1556,2,1,202.74
Super built-up Area,Ready To Move,Maniyawas,4 BHK,Green Meadows,2508,3,2,278.04
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,City Heights,2632,1,0,361.65
Built-up Area,Under Construction,Tagore Nagar,3 BHK,Park View,2123,2,2,145.87
Super built-up Area,Ready To Move,Ajmer Road,3 BHK,Shyam Residency,857,4,3,74.79
Carpet Area,Ready To Move,Jawahar Nagar,5 BHK,City Heights,2347,4,3,229.6
Plot Area,Ready To Move,Parasrampuri,1 BHK,Park View,4319,1,0,491.49
Plot Area,Under Construction,Gandhi Path West,5 BHK,Sapphire Residency,1729,4,3,227.31
Super built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Royal Enclave,1871,5,3,122.79
Plot Area,Under Construction,Sirsi,1 BHK,Urban Estate,863,2,0,81.18
Super built-up Area,Under Construction,Shyam Nagar,5 BHK,Zenith Society,1729,5,3,241.69
Super built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Park View,3473,1,0,280.53
Super built-up Area,Ready To Move,Brahmpuri,5 BHK,Metro Heights,1570,5,3,83.37
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Luxury Heights,2881,1,0,376.12
Carpet Area,Ready To Move,Vaishali Nagar,4 BHK,Zenith Society,1105,4,3,102.24
Plot Area,Ready To Move,Malviya Nagar,4 BHK,Blue Haven,4407,5,2,308.72
Carpet Area,Ready To Move,Brahmpuri,4 BHK,Prime Residency,1398,5,3,98.78
Super built-up Area,Ready To Move,Sita Vihar,3 BHK,Green Meadows,824,2,2,80.48
Carpet Area,Under Construction,Dahar Ka Balaji,1 BHK,Sapphire Residency,2462,1,1,282.74
Super built-up Area,Under Construction,Brahmpuri,5 BHK,Urban Estate,2432,5,3,208.81
Super built-up Area,Under Construction,Jawahar Nagar,4 BHK,Metro Heights,2493,5,3,329.19
Plot Area,Ready To Move,Civil Lines,2 BHK,Emerald Greens,1862,1,2,66.05
Plot Area,Ready To Move,Shyam Nagar,1 BHK,Cosmopolitan Society,1387,2,0,181.87
Super built-up Area,Under Construction,Dahar Ka Balaji,4 BHK,Cosmopolitan Society,1043,3,3,145.35
Carpet Area,Under Construction,Hanuman Nagar,4 BHK,City Heights,2014,3,3,111.67
Plot Area,Ready To Move,Vaishali Nagar,3 BHK,Blue Haven,2561,3,1,81.53
Plot Area,Ready To Move,Manchwa,5 BHK,Golden Horizon,3744,5,3,512.72
Super built-up Area,Under Construction,Maniyawas,2 BHK,Elite Society,2199,3,1,99.35
Carpet Area,Under Construction,Bapu Nagar,5 BHK,Urban Estate,1979,5,3,149.86
Built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Cosmopolitan Society,1791,2,0,148.0
Super built-up Area,Ready To Move,Manchwa,1 BHK,Royal Enclave,3073,1,1,246.77
Super built-up Area,Ready To Move,Jawahar Nagar,5 BHK,Luxury Heights,744,4,3,48.88
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Metro Heights,2520,4,3,188.22
Plot Area,Under Construction,Civil Lines,1 BHK,City Heights,1686,1,0,204.16
Built-up Area,Ready To Move,Gandhi Path West,5 BHK,Sapphire Residency,1101,5,3,89.66
Built-up Area,Ready To Move,Civil Lines,5 BHK,Elite Society,2290,4,3,326.9
Carpet Area,Ready To Move,Chokdi Gangapol,3 BHK,Cosmopolitan Society,1913,4,1,228.44
Super built-up Area,Ready To Move,Malviya Nagar,3 BHK,Park View,3114,3,1,89.01
Plot Area,Ready To Move,Bapu Nagar,4 BHK,Raj Villas,3526,5,3,352.45
Plot Area,Ready To Move,Hanuman Nagar,1 BHK,Heritage Homes,2360,1,0,167.14
Plot Area,Under Construction,Hanuman Nagar,2 BHK,Cosmopolitan Society,3499,1,2,394.32
Super built-up Area,Under Construction,Gandhi Path West,2 BHK,Cosmopolitan Society,2559,3,1,246.52
Super built-up Area,Ready To Move,Hanuman Nagar,4 BHK,Golden Horizon,3494,5,3,199.25
Carpet Area,Ready To Move,Ajmer Road,4 BHK,Green Meadows,1659,5,2,78.77
Plot Area,Ready To Move,Gandhi Path West,3 BHK,Cosmopolitan Society,2585,2,2,212.05
Plot Area,Ready To Move,Ajmer Road,3 BHK,Green Meadows,4888,3,2,530.01
Built-up Area,Ready To Move,Brahmpuri,5 BHK,Blue Haven,901,5,3,135.1
Carpet Area,Ready To Move,Sita Vihar,5 BHK,Green Meadows,990,5,3,134.42
Super built-up Area,Ready To Move,Sita Vihar,3 BHK,Green Meadows,3321,2,2,104.22
Plot Area,Under Construction,Tagore Nagar,5 BHK,Blue Haven,4722,4,3,311.71
Super built-up Area,Ready To Move,Gandhi Path West,5 BHK,Golden Horizon,2528,4,3,146.86
Super built-up Area,Ready To Move,Malviya Nagar,3 BHK,Zenith Society,1455,4,3,211.07
Built-up Area,Ready To Move,Dahar Ka Balaji,4 BHK,Park View,1039,5,3,155.81
Super built-up Area,Under Construction,Shyam Nagar,1 BHK,Cosmopolitan Society,1244,1,0,148.11
Super built-up Area,Ready To Move,Civil Lines,2 BHK,Royal Enclave,715,1,2,76.61
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Heritage Homes,2373,5,3,239.15
Super built-up Area,Under Construction,Civil Lines,4 BHK,Elite Society,2558,4,3,305.67
Plot Area,Ready To Move,Sirsi,3 BHK,Shyam Residency,3030,3,3,434.52
Plot Area,Ready To Move,Parasrampuri,4 BHK,Royal Enclave,4293,3,2,486.64
Built-up Area,Ready To Move,Parasrampuri,3 BHK,Heritage Homes,1565,4,2,175.04
Super built-up Area,Ready To Move,Shyam Nagar,5 BHK,Shyam Residency,2368,4,3,73.7
Plot Area,Ready To Move,Bapu Nagar,2 BHK,Sunrise Apartments,4446,3,0,406.57
Super built-up Area,Ready To Move,Civil Lines,1 BHK,Luxury Heights,2191,2,0,210.86
Plot Area,Ready To Move,Shyam Nagar,2 BHK,Pearl Gardens,3737,2,1,320.62
Super built-up Area,Under Construction,Malviya Nagar,5 BHK,Zenith Society,2168,5,3,270.02
Plot Area,Under Construction,Brahmpuri,3 BHK,Shyam Residency,1153,3,3,127.49
Carpet Area,Ready To Move,Civil Lines,2 BHK,Blue Haven,1042,2,2,82.23
Carpet Area,Ready To Move,Shyam Nagar,4 BHK,Park View,1813,4,2,78.95
Built-up Area,Ready To Move,Jawahar Nagar,4 BHK,City Heights,2663,3,2,178.44
Super built-up Area,Ready To Move,Malviya Nagar,5 BHK,Metro Heights,814,4,3,28.94
Plot Area,Ready To Move,Hanuman Nagar,3 BHK,Heritage Homes,3760,3,1,529.96
Built-up Area,Ready To Move,Malviya Nagar,4 BHK,City Heights,2916,5,3,354.31
Super built-up Area,Under Construction,Dahar Ka Balaji,2 BHK,Royal Enclave,1525,3,1,202.65
Plot Area,Ready To Move,Maniyawas,1 BHK,Shyam Residency,3034,1,0,115.17
Super built-up Area,Ready To Move,Civil Lines,2 BHK,Green Meadows,1525,3,0,191.37
Plot Area,Ready To Move,Chokdi Gangapol,3 BHK,Prime Residency,4641,3,2,677.72
Plot Area,Ready To Move,Shyam Nagar,3 BHK,Heritage Homes,4038,3,2,310.17
Built-up Area,Ready To Move,Manchwa,4 BHK,Cosmopolitan Society,2020,3,2,121.68
Super built-up Area,Ready To Move,Sita Vihar,4 BHK,City Heights,3111,4,2,285.84
Super built-up Area,Under Construction,Tagore Nagar,4 BHK,Pearl Gardens,1357,4,3,49.13
Plot Area,Ready To Move,Maniyawas,2 BHK,Sunrise Apartments,1561,1,0,113.67
Super built-up Area,Ready To Move,Brahmpuri,3 BHK,Elite Society,1986,4,3,78.97
Built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Shyam Residency,1596,4,2,32.61
Built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Golden Horizon,2016,2,3,250.96
Super built-up Area,Ready To Move,Malviya Nagar,5 BHK,Prime Residency,2844,5,3,174.91
Plot Area,Ready To Move,Bapu Nagar,2 BHK,Sapphire Residency,2176,2,0,91.36
Super built-up Area,Ready To Move,Malviya Nagar,4 BHK,Luxury Heights,2219,3,3,183.24
Super built-up Area,Under Construction,Raja Park,1 BHK,Raj Villas,1026,1,1,146.45
Plot Area,Ready To Move,Dahar Ka Balaji,4 BHK,Green Meadows,1487,5,3,192.56
Built-up Area,Ready To Move,Civil Lines,4 BHK,Metro Heights,2795,3,2,80.46
Built-up Area,Under Construction,Sirsi,2 BHK,Golden Horizon,2706,2,1,227.49
Plot Area,Under Construction,Manchwa,1 BHK,City Heights,2271,1,0,161.04
Carpet Area,Ready To Move,Shyam Nagar,3 BHK,Green Meadows,1867,3,3,205.99
Super built-up Area,Ready To Move,Vaishali Nagar,5 BHK,Blue Haven,1538,4,3,229.09
Super built-up Area,Under Construction,Manchwa,4 BHK,Zenith Society,3413,3,2,152.77
Built-up Area,Ready To Move,Malviya Nagar,2 BHK,Cosmopolitan Society,775,1,1,35.27
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Sunrise Apartments,1834,2,3,67.45
Super built-up Area,Under Construction,Tagore Nagar,1 BHK,Sunrise Apartments,2548,1,1,222.14
Carpet Area,Ready To Move,Shyam Nagar,2 BHK,Royal Enclave,705,1,1,75.71
Plot Area,Ready To Move,Ajmer Road,3 BHK,Luxury Heights,4993,3,2,445.07
Built-up Area,Under Construction,Parasrampuri,1 BHK,Golden Horizon,866,1,0,82.93
Plot Area,Under Construction,Sita Vihar,4 BHK,Sunrise Apartments,3149,4,3,350.54
Super built-up Area,Ready To Move,Civil Lines,3 BHK,Prime Residency,1550,2,3,94.95
Super built-up Area,Under Construction,Malviya Nagar,5 BHK,Heritage Homes,3465,4,3,120.65
Plot Area,Ready To Move,Maniyawas,4 BHK,Pearl Gardens,4951,3,3,661.43
Plot Area,Ready To Move,Chokdi Gangapol,3 BHK,Elite Society,2362,3,1,56.14
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Emerald Greens,898,3,2,91.45
Super built-up Area,Ready To Move,Jawahar Nagar,5 BHK,Elite Society,3478,5,3,435.49
Super built-up Area,Ready To Move,Jawahar Nagar,3 BHK,Cosmopolitan Society,2861,3,3,91.04
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Shyam Residency,1177,5,3,120.94
Plot Area,Ready To Move,Mansarovar Ext.,1 BHK,Heritage Homes,1307,1,0,135.08
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Heritage Homes,2695,1,2,112.06
Plot Area,Under Construction,Parasrampuri,5 BHK,Cosmopolitan Society,2890,4,3,207.61
Plot Area,Under Construction,Dahar Ka Balaji,2 BHK,Sunrise Apartments,1330,2,0,103.0
Plot Area,Under Construction,Bapu Nagar,3 BHK,Prime Residency,1709,3,1,151.78
Built-up Area,Ready To Move,Brahmpuri,4 BHK,Zenith Society,2733,3,3,356.41
Plot Area,Ready To Move,Shyam Nagar,4 BHK,City Heights,4169,4,3,598.4
Plot Area,Ready To Move,Mansarovar Ext.,3 BHK,Cosmopolitan Society,2605,3,3,237.44
Plot Area,Under Construction,Tagore Nagar,3 BHK,Elite Society,2285,4,1,241.62
Plot Area,Ready To Move,Maniyawas,3 BHK,Urban Estate,4689,3,1,434.84
Super built-up Area,Ready To Move,Sirsi,5 BHK,Raj Villas,1454,5,3,86.51
Plot Area,Under Construction,Dahar Ka Balaji,1 BHK,Prime Residency,1463,2,0,34.04
Built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Royal Enclave,1449,3,1,87.73
Super built-up Area,Ready To Move,Malviya Nagar,1 BHK,Park View,1112,2,0,63.34
Plot Area,Under Construction,Civil Lines,2 BHK,Emerald Greens,3770,2,1,446.33
Super built-up Area,Ready To Move,Civil Lines,3 BHK,Metro Heights,2938,2,2,368.25
Plot Area,Under Construction,Mansarovar Ext.,1 BHK,Blue Haven,1787,1,0,193.4
Built-up Area,Under Construction,Bapu Nagar,5 BHK,Metro Heights,898,5,3,84.22
Plot Area,Ready To Move,Ajmer Road,1 BHK,Luxury Heights,4227,2,1,512.39
Super built-up Area,Ready To Move,Shyam Nagar,1 BHK,Heritage Homes,1731,1,1,182.64
Built-up Area,Ready To Move,Shyam Nagar,2 BHK,Golden Horizon,2895,2,1,364.12
